N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
238      0        2200       2092       0        0         0         0.000720
239      0        2200       2097       0        0         0         0.000751
240      0        2200       2097       0        0         0         0.000691
241      0        2200       2092       0        0         0         0.000704
242      0        2200       2092       0        0         0         0.000704
243      0        2200       2097       0        0         0         0.000704
244      0        2200       2097       0        0         0         0.000720
245      0        2200       2097       0        0         0         0.000691
246      0        2200       2097       0        0         0         0.000704
247      0        2200       2097       0        0         0         0.000683
248      0        2200       2092       0        0         0         0.000691
249      0        2200       2097       0        0         0         0.000698
250      0        2200       2097       0        0         0         0.000683
251      0        2200       2097       0        0         0         0.000661
252      0        2200       2097       0        0         0         0.000676
253      0        2200       2097       0        0         0         0.000683
254      0        2200       2092       0        0         0         0.000704
255      0        2200       2092       0        0         0         0.000676
256      0        2200       2097       0        0         0         0.000683
257      0        2200       2092       0        0         0         0.000704
258      0        2200       2092       0        0         0         0.000691
259      0        2200       2097       0        0         0         0.000704
260      0        2200       2097       0        0         0         0.000668
261      0        2200       2097       0        0         0         0.000668
262      0        2200       2097       0        0         0         0.000676
263      0        2200       2097       0        0         0         0.000668
264      0        2200       2092       0        0         0         0.000683
265      0        2200       2097       0        0         0         0.000683
266      0        2200       2097       0        0         0         0.000676
267      0        2200       2097       0        0         0         0.000676
268      0        2200       2092       0        0         0         0.000683
269      0        2200       2097       0        0         0         0.000704
270      0        2200       2097       0        0         0         0.000691
271      0        2200       2092       0        0         0         0.000691
272      0        2200       2097       0        0         0         0.000683
273      0        2200       2097       0        0         0         0.000683
274      0        2200       2092       0        0         0         0.000691
275      0        2200       2092       0        0         0         0.000698
276      0        2200       2097       0        0         0         0.000691
277      0        2200       2097       0        0         0         0.000698
278      0        2200       2091       0        0         0         0.000758
279      0        2200       2097       0        0         0         0.000704
280      0        2200       2097       0        0         0         0.000683
281      0        2200       2092       0        0         0         0.000683
282      0        2200       2097       0        0         0         0.000683
